cell_id,lat,lon,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean,eq_energy_log,eq_days_since_last_major,cyclone_count,wind_mean,wind_max,pressure_min_mean,dist_nearest_volcano_km,volcano_count
838da1fffffffff,-9.585704566759656,112.58949248790442,125.0,4.901280000000001,6.25,43.88313600000002,14.817422110110227,23224.0,12.0,23.181818181818183,25.0,1003.9545454545455,168.3254149111205,0
83a0ebfffffffff,-12.058832797195835,-141.7680965932449,0.0,,,,,,3.0,42.5,45.0,988.5,3673.451344726562,0
83630dfffffffff,14.88773222168289,60.11747564831684,0.0,,,,,,3.0,25.0,25.0,1006.0,2041.3181507867948,0
83ec4dfffffffff,-80.09612066289431,134.50643222422624,0.0,,,,,,0.0,,,,4985.639276809233,0
8336ccfffffffff,25.637721569481055,-143.5842190080526,0.0,,,,,,4.0,30.0,30.0,1006.5,5749.681499699299,0
835751fffffffff,17.420309873911634,-29.576607401318437,0.0,,,,,,16.0,32.03125,40.0,1005.2901785714286,4523.607802747899,0
835d36fffffffff,23.439960974483398,-156.5302114513552,0.0,,,,,,5.0,37.0,45.0,1008.5,4812.067823011559,0
83c041fffffffff,-37.42020830691088,0.354066754376163,0.0,,,,,,0.0,,,,4966.825856129815,0
83d280fffffffff,-43.8962820968395,-97.25203570848362,0.0,,,,,,0.0,,,,6915.897130839404,0
83d540fffffffff,-52.52332393691203,-171.28378115870436,0.0,,,,,,2.0,25.0,30.0,997.0,1855.0580352955615,0
832d2afffffffff,43.22783468868945,34.71341333434614,0.0,,,,,,0.0,,,,1098.2469543609984,0
835522fffffffff,26.369435058837592,-10.902568262868881,0.0,,,,,,0.0,,,,2736.259270853136,0
838624fffffffff,-10.798401776767626,86.63093402362435,0.0,,,,,,81.0,34.404761904761905,102.5,995.1984126984127,2583.530542512575,0
83b670fffffffff,-25.966894268132595,-98.89835656336365,0.0,,,,,,0.0,,,,7782.598452064654,0
8335adfffffffff,39.91402877103368,-29.113130302605562,66.0,4.816212121212121,5.85,11.432121212121212,14.223562374524912,,13.0,42.30769230769231,55.0,999.3717948717949,3610.384205142521,0
83121bfffffffff,55.11680550673812,-119.44305364105729,1.0,4.5,4.5,10.0,11.55,,0.0,,,,8164.272769876327,0
839210fffffffff,-10.77878053285571,-107.81051208856984,1.0,5.0,5.0,33.0,12.3,,0.0,,,,7333.568448563351,0
83c660fffffffff,-33.91727222889309,-141.9911318787638,0.0,,,,,,3.0,42.5,47.5,990.1666666666666,3678.8426781929243,0
83e773fffffffff,-71.21998101045723,21.09715141280643,0.0,,,,,,0.0,,,,5987.012657093568,0
8310cafffffffff,57.717378004911374,65.12723408612287,0.0,,,,,,0.0,,,,3742.964522306065,0
83b2a0fffffffff,-27.682877088562407,-77.32074825796774,0.0,,,,,,0.0,,,,9399.727330670212,0
83ef5dfffffffff,-73.62902510263264,-61.55314752509663,0.0,,,,,,0.0,,,,6850.3465771239435,0
83e3b1fffffffff,-68.89584670669048,-128.10134884662276,0.0,,,,,,0.0,,,,4726.653705507719,0
837c52fffffffff,4.2769990387050685,-24.195341358455376,0.0,,,,,,0.0,,,,3847.2301458992165,0
83d690fffffffff,-44.01456743037815,43.97674175825165,0.0,,,,,,0.0,,,,2753.324108915145,0
83d966fffffffff,-59.75080114773947,131.970943555311,0.0,,,,,,0.0,,,,3926.09422811284,0
837b00fffffffff,-6.735002619845312,49.210207328160216,0.0,,,,,,13.0,17.5,20.0,1005.8636363636364,848.5935142698161,0
83d44bfffffffff,-42.132891574710975,-174.6969913221354,0.0,,,,,,1.0,30.0,30.0,990.0,862.0611761810042,0
83bac1fffffffff,-25.434346561568844,178.67375464819438,105.0,5.038857142857143,6.6,589.9332190476191,15.44227213925737,1182.0,25.0,46.05833333333333,102.5,985.4733333333335,1243.5623419588978,0
83592efffffffff,22.438649518912406,2.5169493425218756,0.0,,,,,,0.0,,,,1993.4822589632008,0
